Count_nuclei,FileName_images,ImageNumber
2824.0,"D6_-1_1_1_Stitched[DAPI 377,447]_001.tif",147
827.0,"D7_-1_1_1_Stitched[DAPI 377,447]_001.tif",148
650.0,"D8_-1_1_1_Stitched[DAPI 377,447]_001.tif",149
807.0,"D9_-1_1_1_Stitched[DAPI 377,447]_001.tif",150
775.0,"E10_-1_1_1_Stitched[DAPI 377,447]_001.tif",151
529.0,"E11_-1_1_1_Stitched[DAPI 377,447]_001.tif",152
12214.0,"E2_-1_1_1_Stitched[DAPI 377,447]_001.tif",153
11898.0,"E3_-1_1_1_Stitched[DAPI 377,447]_001.tif",154
12107.0,"E4_-1_1_1_Stitched[DAPI 377,447]_001.tif",155
7903.0,"E5_-1_1_1_Stitched[DAPI 377,447]_001.tif",156
2829.0,"E6_-1_1_1_Stitched[DAPI 377,447]_001.tif",157
821.0,"E7_-1_1_1_Stitched[DAPI 377,447]_001.tif",158
794.0,"E8_-1_1_1_Stitched[DAPI 377,447]_001.tif",159
602.0,"E9_-1_1_1_Stitched[DAPI 377,447]_001.tif",160
54.0,"F10_-1_1_1_Stitched[DAPI 377,447]_001.tif",161
20.0,"F11_-1_1_1_Stitched[DAPI 377,447]_001.tif",162
11749.0,"F2_-1_1_1_Stitched[DAPI 377,447]_001.tif",163
11402.0,"F3_-1_1_1_Stitched[DAPI 377,447]_001.tif",164
10158.0,"F4_-1_1_1_Stitched[DAPI 377,447]_001.tif",165
8865.0,"F5_-1_1_1_Stitched[DAPI 377,447]_001.tif",166
3132.0,"F6_-1_1_1_Stitched[DAPI 377,447]_001.tif",167
733.0,"F7_-1_1_1_Stitched[DAPI 377,447]_001.tif",168
851.0,"F8_-1_1_1_Stitched[DAPI 377,447]_001.tif",169
389.0,"F9_-1_1_1_Stitched[DAPI 377,447]_001.tif",170
14.0,"G10_-1_1_1_Stitched[DAPI 377,447]_001.tif",171
2.0,"G11_-1_1_1_Stitched[DAPI 377,447]_001.tif",172
12467.0,"G2_-1_1_1_Stitched[DAPI 377,447]_001.tif",173
11466.0,"G3_-1_1_1_Stitched[DAPI 377,447]_001.tif",174
11114.0,"G4_-1_1_1_Stitched[DAPI 377,447]_001.tif",175
9124.0,"G5_-1_1_1_Stitched[DAPI 377,447]_001.tif",176
2836.0,"G6_-1_1_1_Stitched[DAPI 377,447]_001.tif",177
773.0,"G7_-1_1_1_Stitched[DAPI 377,447]_001.tif",178
680.0,"G8_-1_1_1_Stitched[DAPI 377,447]_001.tif",179
211.0,"G9_-1_1_1_Stitched[DAPI 377,447]_001.tif",180
